,letter,first,second,third,fourth,fifth,word_occurrence
4,e,0.02437880918893577,0.11720581340834506,0.07172995780590717,0.20839193624003752,0.11298640412564463,0.4711673699015471
18,s,0.1373652133145804,0.006797937177684013,0.04195968120018753,0.045241443975621194,0.3030942334739803,0.46905766526019693
0,a,0.053914674167838725,0.16690107829348336,0.11884669479606189,0.060712611345522735,0.027426160337552744,0.39639006094702295
17,r,0.04922644163150492,0.08673230192217533,0.08321612751992499,0.05860290670417253,0.06094702297233943,0.32114392873886544
14,o,0.01711204875761838,0.15260196905766527,0.08790436005625879,0.038912330051570555,0.017346460384435068,0.2803563056727614
8,i,0.014767932489451477,0.1087669948429442,0.09892170651664323,0.04992967651195499,0.007969995311767463,0.2707454289732771
11,l,0.04453820909517112,0.06891701828410689,0.06704172526957337,0.06774496015002344,0.04149085794655415,0.2616033755274262
19,t,0.06305672761368963,0.023206751054852322,0.047116736990154715,0.07665260196905767,0.06680731364275667,0.25644631973745896
13,n,0.01804969526488514,0.029067041725269572,0.07079231129864041,0.07126113455227379,0.04430379746835443,0.22315986872948898
3,d,0.0522737927801219,0.009610876699484294,0.033286451007969994,0.03867791842475387,0.07993436474449132,0.19995311767463667
20,u,0.011017346460384434,0.08180965775902485,0.05485232067510549,0.02625410220346929,0.0009376465072667605,0.17158931082981715
2,c,0.07712142522269104,0.014299109235818097,0.027426160337552744,0.03938115330520394,0.008204406938584154,0.1589310829817159
15,p,0.06774496015002344,0.02109704641350211,0.024847632442569153,0.03352086263478669,0.01617440225035162,0.15260196905766527
24,y,0.005860290670417253,0.009610876699484294,0.009610876699484294,0.007032348804500703,0.10478199718706048,0.13455227379278012
12,m,0.051570557899671826,0.012658227848101266,0.03164556962025317,0.032114392873886545,0.012892639474917957,0.13384903891233005
7,h,0.04008438818565401,0.04571026722925457,0.0046882325363338025,0.011720581340834505,0.033989685888420065,0.13361462728551335
1,b,0.07501172058134084,0.006563525550867323,0.020393811533052038,0.015236755743084857,0.0035161744022503515,0.11392405063291139
6,g,0.0450070323488045,0.0039849976558837315,0.024847632442569153,0.03187998124706985,0.010548523206751054,0.11181434599156118
10,k,0.012189404594467886,0.005157055789967183,0.014064697609001406,0.03914674167838725,0.02719174871073605,0.0949367088607595
5,f,0.058368495077355836,0.001875293014533521,0.012892639474917957,0.015705578996718237,0.007969995311767463,0.08837318330989218
22,w,0.03938115330520394,0.014299109235818097,0.015002344116268168,0.012892639474917957,0.005157055789967183,0.08626347866854196
21,v,0.017346460384435068,0.005391467416783873,0.02156586966713549,0.012658227848101266,0.00023441162681669012,0.05555555555555555
23,x,0.0007032348804500703,0.004453820909517112,0.010314111579934365,0.00046882325363338024,0.004453820909517112,0.020393811533052038
9,j,0.013595874355368026,0.00046882325363338024,0.0011720581340834506,0.00023441162681669012,0.0,0.015471167369901548
25,z,0.0030473511486169714,0.0011720581340834506,0.005625879043600563,0.005391467416783873,0.0016408813877168307,0.015236755743084857
16,q,0.007266760431317393,0.0016408813877168307,0.00023441162681669012,0.00023441162681669012,0.0,0.009376465072667605
